Name,ID,Genres,Popularity,Followers,URI,Profile Image
Super Simple Songs,7CdGfkCRgPhElnqy3HPJ4a,children's music,74,564153,spotify:artist:7CdGfkCRgPhElnqy3HPJ4a,https://i.scdn.co/image/ab6761610000e5eb47e877323b9ed3e02aad1499
The Jam,2P560DaOMNDUACoH8ZhOCR,"mod revival, new romantic, new wave, punk, ska revival",59,787586,spotify:artist:2P560DaOMNDUACoH8ZhOCR,https://i.scdn.co/image/ee4cebe3c187f4f18502fd99b69e316c1caa2254
Arc De Soleil,2iLMJdaqsQ44X7MPRD7rR5,,65,172218,spotify:artist:2iLMJdaqsQ44X7MPRD7rR5,https://i.scdn.co/image/ab6761610000e5ebd9212ee58e2519f7b4f28104
Jeff Beck,0AD4odMWVQ2wUSlgxOB5Rl,"album rock, blues, blues rock, british blues, classic rock, electric blues, hard rock, instrumental rock, jazz fusion, progressive rock",56,793044,spotify:artist:0AD4odMWVQ2wUSlgxOB5Rl,https://i.scdn.co/image/c54d3e62fa857b691de4e391b3cca35234462761
M83,63MQldklfxkjYDoUE4Tppz,"french shoegaze, french synthpop, indietronica, metropopolis, neo-synthpop",72,2475634,spotify:artist:63MQldklfxkjYDoUE4Tppz,https://i.scdn.co/image/ab6761610000e5ebfdb74f864a7a2cca6014a8a6
Joey Landreth,1n5S81eeVtaFs2vvo7p234,"canadian folk, manitoba indie",29,20800,spotify:artist:1n5S81eeVtaFs2vvo7p234,https://i.scdn.co/image/ab6761610000e5eb49c20e486c5a16bd5ef43607
The Notorious B.I.G.,5me0Irg2ANcsgc93uaYrpb,"east coast hip hop, gangster rap, hardcore hip hop, hip hop, rap",79,11345606,spotify:artist:5me0Irg2ANcsgc93uaYrpb,https://i.scdn.co/image/1b4858fbd24046a81cace5ee18d19c868262b91f
Luther Vandross,19y5MFBH7gohEdGwKM7QsP,"quiet storm, soul",68,3389380,spotify:artist:19y5MFBH7gohEdGwKM7QsP,https://i.scdn.co/image/ab6761610000e5ebc609e4ef97e896a2b32b1473
Thin Lizzy,6biWAmrHyiMkX49LkycGqQ,"album rock, blues rock, classic rock, glam metal, hard rock, irish rock, metal, rock",62,1305719,spotify:artist:6biWAmrHyiMkX49LkycGqQ,https://i.scdn.co/image/cbebfb93be8c2ac47ef6b8a2186d11b3298abe49
The Brian Jonestown Massacre,30uiS1n3uIGXJEYFR1GVDy,"alternative rock, bay area indie, garage rock, indie rock, neo-psychedelic, noise pop, shoegaze",54,379885,spotify:artist:30uiS1n3uIGXJEYFR1GVDy,https://i.scdn.co/image/ab6761610000e5eb33220055dac8da23644c86c7
Yes,7AC976RDJzL2asmZuz7qil,"album rock, art rock, classic rock, hard rock, progressive rock, rock, soft rock, symphonic rock",61,1967427,spotify:artist:7AC976RDJzL2asmZuz7qil,https://i.scdn.co/image/ab6761610000e5eb59869e454c43c15971b3f480
