Name,SpotifyID,Profile Image,MBID
The War On Drugs,6g0mn3tzAds6aVeUYRsryU,https://i.scdn.co/image/ab6761610000e5eb03ef469bbf290d048e6c521d,87b9b3b8-ab93-426c-a200-4012d667a626
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,https://i.scdn.co/image/ab6761610000e5ebe9348cc01ff5d55971b22433,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d
Charley Crockett,3BJX1nYizKvWpZTY5HOAr4,https://i.scdn.co/image/ab6761610000e5eb25d49dc188312efe6b566dac,cf391be8-a609-4fcf-8de1-0eff6b639ae5
Khruangbin,2mVVjNmdjXZZDvhgQWiakk,https://i.scdn.co/image/ab6761610000e5eba63dfeecf7c8d2acf3eeee6b,aea4c9b9-9f8d-49dc-b2ca-57d6f26e8634
Rose City Band,4TysFpMssaAsBomBur7jpK,https://i.scdn.co/image/ab6761610000e5eb981144b3c9dc206c9da15e9c,5c0fd749-09f8-4ece-b489-364fa10fe202
Cut Worms,2upjmNmngAXZcra9dQRR2l,https://i.scdn.co/image/ab6761610000e5eb38cafd24aa1773cb65362a4e,c3552e38-d7a7-4dd8-a0a2-c5cdb63a1e8f
John Mayer,0hEurMDQu99nJRq8pTxO14,https://i.scdn.co/image/ab6761610000e5ebe926dd683e1700a6d65bd835,144ef525-85e9-40c3-8335-02c32d0861f3
Kanye West,5K4W6rqBFWDnAN6FQUkS6x,https://i.scdn.co/image/ab6761610000e5eb6e835a500e791bf9c27a422a,164f0d73-1234-4e2c-8743-d77bf2191051
Allman Brothers Band,4wQ3PyMz3WwJGI5uEqHUVR,https://i.scdn.co/image/ab6772690000c46c08f5d15585b77b0cb059717b,72359492-22be-4ed9-aaa0-efa434fb2b01
Jimi Hendrix,776Uo845nYHJpNaStv1Ds4,https://i.scdn.co/image/ab6761610000e5eb31f6ab67e6025de876475814,06fb1c8b-566e-4cb2-985b-b467c90781d4
Wooden Shjips,35rFgnhlSSYflP4HpC3JM0,https://i.scdn.co/image/ab6761610000e5eb2d7296444854ff49f5b2e78b,3754dc74-381e-4237-bd44-65f5600a4d88
Patsy Cline,7dNsHhGeGU5MV01r06O8gK,https://i.scdn.co/image/c8eb3a2d38f77a5f9e752036dec6c21f307fbfe2,ad82dd72-0df3-4a09-8d7a-1af9c9e80522
Delicate Steve,1bNgeTuV3MlkAq64Ybvcq5,https://i.scdn.co/image/ab6761610000e5eb877d61e0b371db8a72f9533e,Not Found
Black Market Karma,1lbkSAoynPSO7OQOFSOdon,https://i.scdn.co/image/ab6761610000e5eb93b85b7301bab8a9d61504f1,de86014b-f68b-4be0-b568-3069995e7327
Steely Dan,6P7H3ai06vU1sGvdpBwDmE,https://i.scdn.co/image/9d01e4e9aac39b891d684d3d1a5b3a451d7c72bd,e01c3376-15fa-40d7-b747-5f219bdefdd7
Beach House,56ZTgzPBDge0OvCGgMO3OY,https://i.scdn.co/image/ab6761610000e5ebb3e38a46a56a423d8f741c09,d5cc67b8-1cc4-453b-96e8-44487acdebea
Red Hot Chili Peppers,0L8ExT028jH3ddEcZwqJJ5,https://i.scdn.co/image/ab6761610000e5ebc33cc15260b767ddec982ce8,8bfac288-ccc5-448d-9573-c33ea2aa5c30
Boogarins,0ohvsn0lgt51qZUbu9ct4s,https://i.scdn.co/image/ab6761610000e5eba6a25f56b5156128ae95a47e,46713d05-4143-4704-a9c3-71b482a13944
Eagles,0ECwFtbIWEVNwjlrfc6xoL,https://i.scdn.co/image/ab6761610000e5eb0767e116a2307495e37cd7fb,f46bd570-5768-462e-b84c-c7c993bbf47e
Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,https://i.scdn.co/image/ab6761610000e5ebc8752dd511cda8c31e9daee8,bd13909f-1c29-4c27-a874-d4aaf27c5b1a
bdrmm,4Cx5LnF4WNJIn9SSqyeq9C,https://i.scdn.co/image/ab6761610000e5ebf488b872121d7d1f32ed294b,0892e729-9af9-4746-8534-73cd0586347a
Stevie Wonder,7guDJrEfX3qb6FEbdPA5qi,https://i.scdn.co/image/c59faacbed7aa770266bad048660810eca204108,1ee18fb3-18a6-4c7f-8ba0-bc41cdd0462e
Pink Floyd,0k17h0D3J5VfsdmQ1iZtE9,https://i.scdn.co/image/e69f71e2be4b67b82af90fb8e9d805715e0684fa,83d91898-7763-47d7-b03b-b92132375c47
Dire Straits,0WwSkZ7LtFUFjGjMZBMt6T,https://i.scdn.co/image/ab6761610000e5eb4bdaa8c5e65b64f50549c393,614e3804-7d34-41ba-857f-811bad7c2b7a
